date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
198407,-7.1532,-5.0977,-4.5777,-1.8314,-2.168,-5.2769,-5.2775,-1.4228,-3.7884,-3.8261,-3.5125,-3.3574,-2.9824,-3.1724,-0.9706,-3.8427,-4.6249,-2.5122,-4.4951,-0.4935,0.34,-1.4032,-0.0098,-2.986,-2.3041
198408,11.484,11.7329,8.7025,6.8558,8.79,15.9523,10.4716,10.1406,9.1804,10.3774,15.5812,12.9519,10.732,12.203,9.4312,12.926,13.4089,12.4254,11.1187,9.9794,10.7231,10.1586,10.2268,11.5575,12.4685
198409,-2.6366,-1.6274,0.5317,1.3544,2.3699,-5.529,0.3432,1.8965,1.4912,3.1899,-4.0208,1.454,1.9147,1.996,3.5611,-1.5998,-1.6176,0.6593,1.4992,4.4734,-2.7413,-1.6342,-0.498,1.8657,3.1014
198410,-3.9255,-1.3423,-2.1974,-1.4145,-1.2958,-2.9984,-1.6394,-0.1243,0.8749,0.7374,-1.7611,-0.599,1.4962,-1.6782,1.4924,-0.3484,-0.1696,0.6914,0.3144,1.6904,0.8826,2.761,1.3051,-0.4372,-1.5342
198411,-5.655,-4.0641,-1.2544,-1.4964,-0.9927,-5.8008,-2.0017,-0.3692,-0.0167,1.2188,-3.9183,0.4151,1.2042,1.5784,1.9821,-3.5243,-0.6241,-1.0007,0.719,2.0313,-2.4423,-0.9692,-1.6542,-0.7234,1.4053
198412,0.5084,1.0584,0.9848,0.5274,0.7066,2.0736,2.3699,1.6817,2.4106,2.5332,4.6944,3.6395,0.747,1.7417,1.8839,3.0884,1.8336,2.2277,3.0169,3.5314,2.6036,2.3681,2.806,3.0701,1.3434
198501,15.9119,15.113,10.5651,10.0928,8.6086,16.181,13.0648,9.0481,9.8801,9.0527,13.6798,10.3784,9.7609,8.7694,8.1887,12.4232,13.0126,8.4275,7.8743,6.4025,9.5005,7.9747,7.4975,6.9228,4.4735
198502,3.7375,4.65,3.5386,2.6512,3.822,2.9061,3.1838,2.4622,2.0399,1.2319,2.1559,0.9187,1.2694,1.9245,-0.6134,2.3027,-1.0494,2.0029,2.5493,1.1719,0.274,2.693,1.5496,2.4895,2.7501
198503,-2.6003,-2.9224,-1.3044,-1.2498,-0.3421,-4.6508,-3.3862,-0.7745,0.4118,3.0122,-4.4262,-1.1264,-1.9807,0.7261,3.7345,-3.4337,-2.1323,0.1037,1.0698,4.3029,-1.397,0.9681,-0.7039,1.0786,1.562
198504,-2.1763,-1.6765,0.2271,0.458,0.2523,-3.1956,-1.4976,-0.1569,2.5027,0.6707,-1.0952,-1.528,-0.3564,2.6433,1.5041,-1.4491,-3.2324,0.5168,0.796,1.0626,-1.6393,-2.3662,-1.3281,1.2736,2.9059
198505,2.5517,4.1011,3.7283,2.7183,1.0869,4.0913,4.0859,3.3213,5.4285,2.9474,6.2757,5.7986,3.2996,4.4717,4.1974,6.5208,5.87,5.6414,4.4271,6.4995,5.7588,7.5886,8.6477,5.6598,4.5898
198506,0.5812,0.5529,0.9696,1.39,2.7484,0.8844,2.3763,2.4904,3.0761,3.5051,2.621,2.0274,3.9687,2.6669,3.3625,1.8733,1.8815,2.2635,3.5372,0.8992,0.6875,2.8474,1.3902,0.3459,2.3261
198507,2.5418,2.8855,2.4096,1.6962,2.0911,3.1919,3.3763,4.5672,0.047,0.8875,1.3498,2.8253,1.2961,0.9117,1.775,-0.5459,0.4118,1.117,-2.1051,0.8818,0.5774,-0.4716,-1.7845,-1.5005,-2.3639
198508,-1.6205,-0.9807,-0.7085,0.011,-0.8631,-1.9709,-0.8972,1.0085,0.392,0.3125,-2.3815,-0.8568,-0.0839,-0.601,0.5243,-1.817,-0.2391,1.097,-0.2656,0.2828,-1.7641,0.1579,-0.7077,0.3951,0.7948
198509,-8.0412,-5.78,-4.935,-3.926,-4.0665,-7.3923,-6.172,-3.3449,-3.5573,-5.3443,-6.8827,-4.3795,-3.185,-3.9877,-3.0778,-5.0315,-4.0728,-4.7601,-6.3535,-4.7379,-3.6483,-1.4507,-3.0356,-3.2714,-4.0215
198510,0.71,1.8675,3.6187,3.3257,1.8175,4.1098,3.6499,4.178,5.7893,3.1723,4.24,4.4096,4.3607,2.4039,3.4886,5.6865,5.3484,4.272,5.5031,5.0889,3.7316,4.3214,4.8707,5.883,6.3014
198511,5.4753,6.3753,6.4295,5.071,4.7038,9.3527,7.2121,8.1477,7.032,6.7039,7.532,7.3962,5.7747,6.4283,6.4653,8.7828,6.7809,8.301,5.4985,5.6288,10.021,8.1687,7.8337,3.9433,4.6884
198512,3.6553,5.2843,4.1022,4.0385,3.4071,5.164,4.2355,5.1506,3.7685,0.2863,5.8744,4.5748,2.746,2.6689,5.4637,3.7554,4.2864,2.8272,4.97,5.1762,6.8629,3.7452,4.8707,3.0815,4.3461
198601,3.8037,2.1069,2.6376,2.1326,3.0545,1.1084,2.2383,0.6826,0.214,2.4679,1.9573,2.95,1.5708,2.2039,2.8456,1.1549,0.5031,1.8553,2.721,3.441,0.4269,1.3437,1.6802,-1.4396,1.4471
198602,5.8534,6.5019,6.6165,7.8843,5.492,7.4479,7.1601,7.01,9.5055,4.9543,6.9533,9.5483,7.6447,7.2499,6.7279,7.8931,9.5503,7.0059,7.2551,7.551,7.598,10.1226,8.7234,6.4682,7.186
198603,4.5877,5.4588,5.0626,4.6307,6.5257,3.6044,5.1696,6.0783,4.9449,6.358,4.7421,7.3299,4.8319,5.6171,5.5487,5.6352,5.3175,6.6132,4.0467,4.8973,5.9924,7.3229,5.43,4.8379,4.4592
198604,2.6906,2.3817,0.9616,0.3952,0.4363,2.4142,2.0554,-0.4295,1.0538,-1.6131,1.7408,2.3845,1.0909,0.6364,-1.3082,1.8139,-0.1171,-1.783,-2.5066,-4.8838,0.4027,-0.9775,-2.3534,-2.6988,-2.7394
198605,4.1475,3.486,4.4279,3.8707,3.8557,3.2838,2.3898,4.9607,4.429,2.1714,6.1591,4.2024,6.2895,5.553,3.4262,6.2659,3.859,5.6523,4.4088,4.2566,5.211,6.3138,3.5011,6.5076,5.6037
198606,0.1745,-1.6596,0.0414,1.3846,2.0164,0.6383,0.1838,2.6363,1.7961,2.37,1.305,-0.7787,2.122,0.4111,2.7334,1.5269,1.0197,0.1045,3.7681,1.1767,2.1942,2.0792,0.9731,0.681,2.9899
198607,-10.139,-8.4687,-8.399,-6.2218,-8.9156,-11.4446,-9.765,-8.8535,-4.9581,-6.8337,-9.8276,-7.7321,-8.071,-6.0424,-5.5407,-8.699,-7.6578,-7.0579,-3.9741,-4.3608,-7.1055,-5.9131,-4.8296,-2.6011,-2.7107
198608,0.2432,0.6081,2.1738,1.8617,1.6276,2.4912,4.4159,4.2319,5.5359,4.5537,4.1334,3.7563,6.3684,7.3193,8.7533,4.2307,6.3714,7.0172,10.1323,9.449,4.3954,6.5004,6.1097,10.3182,10.7749
198609,-8.0197,-6.2619,-5.5669,-4.4856,-3.252,-8.8752,-5.8723,-4.7034,-2.5548,-5.6579,-8.274,-7.7703,-4.3423,-4.7871,-5.2037,-9.1987,-6.1049,-7.033,-7.0032,-6.0343,-10.4083,-10.942,-7.7513,-8.0021,-6.3872
198610,2.0673,3.1114,1.8641,3.1059,0.8442,6.4317,4.417,3.23,2.8399,1.5138,5.8888,2.3985,1.512,2.0328,2.3261,5.8076,6.4289,5.4435,6.0269,4.3386,4.9879,7.0332,6.7254,4.6317,5.962
198611,-2.2259,0.1997,0.4658,-0.1131,1.3524,0.2562,0.2249,-0.3594,-2.0615,0.179,0.1708,0.3731,-1.2585,1.2587,-0.4912,1.2938,1.3226,1.5166,-1.1264,1.3044,2.674,1.8745,2.7727,2.5656,1.5893
198612,-5.428,-2.1772,-3.6647,-1.7784,-3.2814,-3.2256,-1.7496,-3.4558,-3.1383,0.8583,-2.5653,-1.7752,-3.723,-2.171,-0.7893,-4.5269,-2.9862,-2.8081,-2.3785,-3.1947,-1.7337,-2.5108,-4.3073,-2.872,-2.9283
198701,11.192,10.3774,10.6246,9.966,9.4177,13.6119,12.4657,10.5717,9.5335,11.1488,13.5562,13.2625,8.756,10.5075,10.1086,14.2569,12.1386,10.3886,11.9355,11.6042,13.4808,16.5312,11.6934,12.5086,11.98
198702,10.7836,8.447,6.9019,7.2022,6.4421,9.6095,9.3057,6.3491,6.0269,5.5753,8.8937,8.2457,5.313,4.2288,4.561,7.152,7.062,6.4531,3.4319,2.6058,8.1973,5.9703,3.0529,-0.4925,-1.0179
198703,2.1786,3.8796,2.2459,3.4825,4.582,0.7362,3.3694,1.5532,2.7594,3.5096,0.7077,1.348,1.6183,2.6124,3.8533,1.8781,1.6581,1.7928,1.9251,-1.3073,1.499,2.2655,0.6464,3.0252,4.7937
198704,-2.2885,-2.3838,-2.3587,-0.6886,-1.2751,-3.9106,-2.5391,-2.8342,-4.2937,-4.91,-2.2484,-2.19,-4.4722,-1.8935,-2.9148,-3.3644,-2.5523,-2.5716,-2.013,-1.6438,-1.3348,-1.1568,-2.2143,-0.8533,-0.3466
